RCV,city,city_ascii,city_alt,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,population_proper,density,source,military,incorporated,township,timezone,ranking,zips,id,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran
,Los Alamos,Los Alamos,,NM,New Mexico,35028,Los Alamos,35028,Los Alamos,35.8926,-106.2862,12035,12035,417,polygon,FALSE,FALSE,FALSE,America/Denver,3,87544 87545,1840017779,41.7,12.4,11.7,9.7,14.2,12.3,17.9,10.9,5.9,5.1,51.4,48.6,60.5,10.9,24.8,3.8,2.96,55.9,101399,3.4,1.1,2.6,1.6,2.4,4.3,7.4,11.5,15.2,24.7,25.8,50.5,57101,65.9,291325,1065,10.2,2.4,11.5,19.7,24,42.5,66.5,71.6,68.2,3.3,84.4,0.4,7.5,1,0,3.4,3.4,17.5,8.1,6.4,3.2,14.5,4.1,8.5
,Albuquerque,Albuquerque,,NM,New Mexico,35001,Bernalillo,35001,Bernalillo,35.1053,-106.6464,758523,558545,1151,polygon,FALSE,TRUE,FALSE,America/Denver,2,87121 87120 87123 87112 87113 87110 87111 87116 87114 87109 87108 87102 87105 87104 87107 87106 87119 87125 87131 87153 87154 87158 87181 87184 87187 87190 87191 87192 87194 87196 87197 87198 87199,1840019176,36.2,12.7,12.8,15.2,14.5,12.1,12.8,10.6,5.8,3.6,48.8,51.2,41.8,15.6,37,5.6,3.23,47.6,49878,4.1,4.3,5.6,5.8,5.8,10.6,13.9,17.4,11.9,12.5,8.1,20.6,27631,59.8,188094,1063,18.7,10.5,22.8,32.5,18.9,15.4,34.3,47.1,64.1,6.5,73.6,3.3,2.7,4.4,0.1,11.6,4.3,48.5,13.3,18.2,4.3,21.2,10.5,9.1
,Rio Rancho,Rio Rancho,,NM,New Mexico,35043,Sandoval,35043|35001,Sandoval|Bernalillo,35.2872,-106.6981,96159,96159,358,polygon,FALSE,TRUE,FALSE,America/Denver,3,87124 87121 87144 87174,1840020387,38.1,13.2,14.4,11.9,13.2,13.9,13.8,10.8,5.8,3.1,48.7,51.3,51.3,14.3,29.2,5.2,3.29,50.6,63180,4,2.1,3.1,3.8,4.4,7.4,14,21.3,15.4,15.3,9.2,24.5,31086,78.4,179001,1165,20.1,7.3,24.5,37.9,18.3,11.9,30.2,45.3,63.2,7.2,79.9,2.7,1.6,2.2,0.2,8.2,5.2,40.7,13.2,12.3,1.6,28.4,7.4,12.6
,Farmington,Farmington,,NM,New Mexico,35045,San Juan,35045,San Juan,36.7555,-108.1823,52555,45450,509,polygon,FALSE,TRUE,FALSE,America/Denver,3,87401 87402 87415,1840020349,32.9,16.2,15.4,14.1,14.9,10.8,11.3,8.9,4.8,3.5,49.8,50.2,43.9,13.9,36.4,5.8,3.59,49.3,55179,3.9,3.5,4.9,3.9,5.1,10,14.5,18.3,13.2,13,9.8,22.8,27244,67.1,174799,893,16.2,13.5,26.4,39.9,11.6,8.6,20.2,44.9,61.5,6.6,61.1,1.3,0.8,26.6,0,5.9,4.3,24.9,11.7,16.8,2.5,18.1,14.6,7.8
,North Valley,North Valley,,NM,New Mexico,35001,Bernalillo,35001,Bernalillo,35.1737,-106.6231,11999,11999,666,polygon,FALSE,FALSE,FALSE,America/Denver,3,87113 87114 87107,1840033721,48.1,8.6,11.1,12.4,10.2,11.6,16.4,13.8,12.3,3.8,47.8,52.2,40,16.8,35,8.3,3.33,49.2,50236,3.3,3.1,6.8,7.9,4.6,9.7,14.2,19.9,11.1,10.9,8.5,19.4,25459,78.4,213404,706,15.8,13.5,26,32.5,14.9,13.1,28,41.6,55.7,4.9,74.9,0.6,1.6,2.3,0,16.9,3.7,61,15.6,12.5,3.1,21.5,14.2,9.7
,Taos,Taos,,NM,New Mexico,35055,Taos,35055,Taos,36.3871,-105.5803,13571,5668,364,polygon,FALSE,TRUE,FALSE,America/Denver,3,87571,1840022638,47.1,9.1,10,9.8,11.4,14.1,14.7,16.1,9.6,5.2,43.4,56.6,30,21.7,40,8.2,3.12,34.6,29849,4.3,8.1,14.4,10.4,3.2,14.8,12,14.2,7.7,5.9,5.1,11,17848,56.7,274494,528,15.5,8.2,25.6,36.7,15.7,13.7,29.4,40.4,52,8.3,86.1,0.5,0.6,4.5,0,4.5,3.9,45.6,19.2,24.5,6.3,12.5,14.7,9.5
1,Las Cruces,Las Cruces,,NM,New Mexico,35013,Doña Ana,35013,Doña Ana,32.3265,-106.7893,133988,101712,510,polygon,FALSE,TRUE,FALSE,America/Denver,2,88012 88011 88005 88007 88001 88006 88013,1840020683,32.6,13.2,14.3,19.5,12.8,10,10.3,9.8,6.1,4.1,49,51,41.8,14.1,38.6,5.4,3.11,43.6,40924,6.1,6.3,6.9,6,7,11.9,14.4,16.1,9.8,9.6,5.7,15.3,21531,53.9,147373,821,16.2,13.2,20.4,33.4,19.7,13.3,33,45.1,60.3,8.3,87.1,2.6,1.7,1.5,0,4.2,2.9,58.6,13.6,24.4,5.6,18.1,10.4,10.5
,Silver City,Silver City,,NM,New Mexico,35017,Grant,35017,Grant,32.7784,-108.2698,11882,9647,368,polygon,FALSE,TRUE,FALSE,America/Denver,3,88061 88062,1840023009,36.7,12.1,12.8,16.2,11.9,9.9,12.1,13.6,8,3.4,47.1,52.9,38.1,17.6,39,5.3,2.85,34.2,35247,6.1,9.5,8.1,7.6,10.8,7.7,12,12.7,13.8,7.8,3.9,11.7,16928,60.7,128400,500,11.7,16.4,22,31,17.5,13,30.5,49.1,58.8,8,90.8,1.4,0.3,2.4,0.1,1.3,3.7,53.1,17.8,31.9,2.2,11.9,5.7,7.6
,Roswell,Roswell,,NM,New Mexico,35005,Chaves,35005,Chaves,33.373,-104.5294,49119,47775,620,polygon,FALSE,TRUE,FALSE,America/Denver,3,88203 88201,1840020549,34.3,16.2,14.2,14,12.6,10.6,11.2,10.4,6.5,4.3,48.5,51.5,43.3,15.8,33.3,7.6,3.26,43.2,42417,3.7,6.8,6.6,7.3,6.7,11.9,15.3,17.7,11.3,9.1,3.6,12.7,21060,64.7,104052,558,13.2,19.8,26.9,33.5,13.1,6.7,19.8,33,57.6,6.8,81.1,2,1,1.7,0.1,11.4,2.8,56.8,17.2,21,6.8,19,14.3,8
,Lovington,Lovington,,NM,New Mexico,35025,Lea,35025,Lea,32.9125,-103.3277,11743,11152,378,polygon,FALSE,TRUE,FALSE,America/Denver,3,88260,1840020617,29.9,16.8,17.1,16.2,12.5,12.2,9.4,7.7,4.9,3.3,49.8,50.2,48.8,14.3,31.6,5.2,3.8,45.1,52056,3.5,2.2,4.7,3.5,4.8,8.4,18.3,20.9,15.3,12.2,6.3,18.5,25248,70.1,104237,441,9.3,29.8,32.2,29.9,5.8,2.4,8.2,22.5,58.8,8.9,86.7,1.6,0,0.3,0,9.4,2,71.2,13.7,15.3,8.1,24.3,14,3.9
