Residence_Addresses_City,elec_date,elec_year,elec_type,total_voters_asian,total_voters_black,total_voters_hispanic,total_voters_others,total_voters_white,voted_voters_asian,voted_voters_black,voted_voters_hispanic,voted_voters_others,voted_voters_white,perc_turnout_asian,perc_turnout_black,perc_turnout_hispanic,perc_turnout_others,perc_turnout_white,FECDonors_TotalDonationsAmount,FECDonors_NumberOfDonations,mean_donation,total_voters_$1000-14999,total_voters_$100000-124999,total_voters_$125000-149999,total_voters_$15000-24999,total_voters_$150000-174999,total_voters_$175000-199999,total_voters_$200000-249999,total_voters_$25000-34999,total_voters_$250000+,total_voters_$35000-49999,total_voters_$50000-74999,total_voters_$75000-99999,voted_voters_$1000-14999,voted_voters_$100000-124999,voted_voters_$125000-149999,voted_voters_$15000-24999,voted_voters_$150000-174999,voted_voters_$175000-199999,voted_voters_$200000-249999,voted_voters_$25000-34999,voted_voters_$250000+,voted_voters_$35000-49999,voted_voters_$50000-74999,voted_voters_$75000-99999,perc_turnout_income_$1000-14999,perc_turnout_income_$100000-124999,perc_turnout_income_$125000-149999,perc_turnout_income_$15000-24999,perc_turnout_income_$150000-174999,perc_turnout_income_$175000-199999,perc_turnout_income_$200000-249999,perc_turnout_income_$25000-34999,perc_turnout_income_$250000+,perc_turnout_income_$35000-49999,perc_turnout_income_$50000-74999,perc_turnout_income_$75000-99999,CommercialData_EstimatedHHIncomeAmount,total_voters_college,total_voters_no_college,voted_voters_college,voted_voters_no_college,perc_turnout_college,perc_turnout_no_college,mean_age,voter_population,voted_voters,state
Oakland,2020_11_03,2020,General,30600,61476,37174,8628,83122,23041,45891,26954,6346,69989,75.29738562,74.64864337,72.50766665,73.55122856,84.20033204,44186445,403388,109.5383229,5769,23942,17695,5199,18942,12058,21204,8812,14398,22561,42090,23612,4179,19409,14944,3874,15834,10419,18735,6246,12982,15054,29142,18293,72.43889756,81.06674463,84.45323538,74.51432968,83.59201774,86.40736441,88.35597057,70.88061734,90.16530074,66.7257657,69.23734854,77.47331865,115534.7318,80668,27989,71356,22543,88.45638915,80.54235593,47.82942389,331652,172221,CA
Oakland,2018_11_06,2018,General,30600,61476,37174,8628,83122,14972,35012,17857,4536,57872,48.92810458,56.95230659,48.0362619,52.57301808,69.62296384,42827869,394704,108.5062959,5769,23942,17695,5199,18942,12058,21204,8812,14398,22561,42090,23612,2998,14927,11978,2789,12561,8530,15607,4477,10693,10005,19886,13605,51.96741203,62.34650405,67.69143826,53.64493172,66.31295534,70.74141649,73.60403697,50.80571947,74.26725934,44.34643854,47.24637681,57.61900728,115534.7318,80668,27989,59248,17372,73.44671989,62.0672407,48.22419562,331652,130249,CA
Oakland,2016_11_08,2016,General,30600,61476,37174,8628,83122,16057,37256,19792,4560,57968,52.47385621,60.60251155,53.24151289,52.8511822,69.73845673,42296298,390007,108.4500996,5769,23942,17695,5199,18942,12058,21204,8812,14398,22561,42090,23612,3310,15288,12110,3019,12588,8649,15673,4908,10681,11161,21635,14295,57.37562836,63.85431459,68.4374117,58.0688594,66.45549572,71.72831315,73.915299,55.69677712,74.18391443,49.4703249,51.40175814,60.54125021,115534.7318,80668,27989,60766,18951,75.32850697,67.70874272,46.81951187,331652,135633,CA
Oakland,2014_11_04,2014,General,30600,61476,37174,8628,83122,8145,21265,8235,2097,35411,26.61764706,34.5907346,22.15257976,24.30458971,42.60123674,37016092,341253,108.4711109,5769,23942,17695,5199,18942,12058,21204,8812,14398,22561,42090,23612,1764,8225,7050,1667,7068,5390,9922,2726,6529,5438,10653,7597,30.57722309,34.35385515,39.84176321,32.06385843,37.31390561,44.7006137,46.79305791,30.93508852,45.34657591,24.10354151,25.31004989,32.17431814,115534.7318,80668,27989,38216,10811,47.37442356,38.62588874,51.03491818,331652,75153,CA
San Leandro,2020_11_03,2020,General,12705,5596,16028,2429,17780,9229,4299,11984,1729,14638,72.64069264,76.82273052,74.76915398,71.1815562,82.32845894,1875137,30683,61.11322231,875,9314,7771,1216,3161,2682,2200,1225,2595,2752,8386,11796,661,7193,6066,955,2515,2193,1875,971,2158,2087,6114,8725,75.54285714,77.22782907,78.05945181,78.53618421,79.56342929,81.76733781,85.22727273,79.26530612,83.15992293,75.83575581,72.90722633,73.9657511,113020.5511,19051,10653,16014,8674,84.0585796,81.42307331,49.75255014,70359,41879,CA
San Leandro,2018_11_06,2018,General,12705,5596,16028,2429,17780,5006,3045,7351,998,11221,39.40181031,54.41386705,45.86348889,41.08686702,63.11023622,1720742,29023,59.2889088,875,9314,7771,1216,3161,2682,2200,1225,2595,2752,8386,11796,461,4732,3982,697,1742,1424,1286,704,1477,1473,3902,5505,52.68571429,50.80523942,51.24179642,57.31907895,55.10914268,53.09470544,58.45454545,57.46938776,56.91714836,53.5247093,46.52993084,46.66836216,113020.5511,19051,10653,11549,6219,60.62148969,58.37792171,51.12986458,70359,27621,CA
San Leandro,2016_11_08,2016,General,12705,5596,16028,2429,17780,5602,3325,8698,1141,11951,44.09287682,59.41744103,54.26753182,46.9740634,67.215973,1752654,29612,59.18728894,875,9314,7771,1216,3161,2682,2200,1225,2595,2752,8386,11796,522,5266,4352,795,1884,1581,1385,799,1576,1666,4432,6187,59.65714286,56.53854413,56.00308841,65.37828947,59.60139196,58.94854586,62.95454545,65.2244898,60.73217726,60.5377907,52.84998808,52.44998305,113020.5511,19051,10653,12551,7066,65.88105611,66.32873369,49.23973056,70359,30717,CA
San Leandro,2014_11_04,2014,General,12705,5596,16028,2429,17780,2510,1554,3413,448,7138,19.75600157,27.7698356,21.29398553,18.44380403,40.14623172,1463703,23007,63.61989829,875,9314,7771,1216,3161,2682,2200,1225,2595,2752,8386,11796,283,2640,2081,457,993,791,722,494,830,876,2039,2737,32.34285714,28.34442774,26.77905032,37.58223684,31.41410946,29.49291573,32.81818182,40.32653061,31.98458574,31.83139535,24.31433341,23.2027806,113020.5511,19051,10653,6931,3729,36.38129232,35.00422416,54.20170708,70359,15063,CA
Livermore,2020_11_03,2020,General,4749,287,9037,2161,35915,3795,225,7185,1675,30891,79.91156033,78.39721254,79.50647339,77.51041185,86.01141584,4602937,52011,88.49929823,272,5966,9391,456,6916,6529,7337,883,6288,1077,3089,3251,214,4926,7679,371,5678,5539,6397,761,5497,922,2538,2711,78.67647059,82.56788468,81.76977958,81.35964912,82.09947947,84.83688161,87.18822407,86.18346546,87.42048346,85.60817084,82.16251214,83.38972624,159543.6565,25888,7197,23228,6273,89.7249691,87.16131722,50.08839832,67089,43771,CA
Livermore,2018_11_06,2018,General,4749,287,9037,2161,35915,2205,156,4726,1052,23286,46.43082754,54.3554007,52.29611597,48.68116613,64.83641932,4522430,52179,86.67145787,272,5966,9391,456,6916,6529,7337,883,6288,1077,3089,3251,137,3448,5349,262,3996,3906,4710,620,3910,760,1946,2010,50.36764706,57.79416695,56.95879033,57.45614035,57.77906304,59.82539439,64.19517514,70.21517554,62.18193384,70.56638812,62.99773389,61.82713011,159543.6565,25888,7197,17929,4724,69.25602596,65.63846047,51.81760893,67089,31425,CA
